Claim_ID,Date_of_Claim,Claim_Amount,Claim_Status,Reason_for_Claim,Policy_ID
CLM52858037,2021-03-07,77660,Denied,Benefit action eat to.,POL53680608
CLM67710659,2022-05-05,51235,Denied,Indeed thus spend sister law left their.,POL30197318
CLM63800610,2020-02-19,4957,Pending,Wind crime particular scene.,POL81238149
CLM79999950,2022-08-02,95637,Denied,Avoid quality common teacher.,POL68966328
CLM57464643,2021-04-25,78004,Pending,Order certainly prove animal surface top.,POL19986234
CLM00360582,2021-04-03,24869,Approved,Popular test participant animal consumer me house.,POL57724014
CLM67947743,2020-04-24,58509,Approved,Environment radio report four.,POL93324177
CLM79258353,2022-01-28,34012,Approved,Cut weight term almost nor.,POL18422174
CLM46352519,2022-02-27,25490,Denied,Position vote from edge support newspaper.,POL06543318
CLM76020408,2021-06-02,95906,Denied,We scene economic ahead remain message.,POL77086340
CLM19781069,2020-12-14,42915,Denied,Material stand somebody mission born.,POL53093436
CLM70002496,2023-07-28,63347,Pending,Every energy though force decade moment political.,POL83630860
CLM67679099,2022-08-28,2927,Approved,Anyone light without.,POL89382366
CLM20132838,2024-06-23,38989,Approved,Very agree college left rather establish billion.,POL64086319
CLM25168392,2021-08-09,54190,Approved,Politics form form area.,POL26384700
CLM20266701,2023-10-11,78300,Approved,Send war art.,POL37389130
CLM63695089,2021-11-21,76263,Approved,Gun will day person suggest.,POL80932118
CLM60727072,2021-02-01,48869,Pending,If community actually population dog.,POL13813789
CLM04596872,2020-04-01,30717,Pending,Author theory behind.,POL48871817
CLM16828618,2022-05-21,4391,Denied,Tv over both worker.,POL06350413
CLM08838235,2022-12-22,69914,Pending,Character perform film TV.,POL38988950
CLM32453460,2023-09-01,98541,Pending,Foot market discussion laugh institution trip throughout.,POL83477672
CLM67273853,2023-09-12,35811,Approved,Now business bar board environment.,POL93979639
CLM44083955,2022-02-24,30431,Denied,Her recognize easy respond ground treat.,POL88380542
CLM91523278,2023-06-09,29855,Approved,In so organization price herself.,POL82003427
CLM28806655,2023-12-28,93392,Pending,Professional ever business window under.,POL12296231
CLM41313519,2022-12-12,92119,Pending,Toward property inside safe despite.,POL77940500
CLM51942188,2022-11-27,67054,Pending,For finish party nothing couple sing adult fast.,POL38512389
CLM00785634,2024-11-21,86595,Pending,Manage learn some represent.,POL25339559
CLM18624038,2023-08-29,36108,Approved,Minute traditional play he ready three.,POL68917134
CLM85695872,2021-05-11,13579,Pending,Himself teacher visit discussion officer pretty draw.,POL36441789
CLM78309481,2020-07-20,15105,Pending,Political husband common challenge so.,POL04361929
CLM28648925,2024-09-17,14345,Denied,Quickly above doctor reveal.,POL72707891
CLM45404019,2022-12-09,19873,Denied,Up weight total into music operation stuff.,POL39650167
CLM85192566,2023-06-01,87098,Pending,Cultural size society then choice plan.,POL19911528
CLM14342341,2024-10-23,89274,Approved,Line operation sell business yourself while.,POL60096605
CLM64564582,2021-03-09,96531,Pending,Health nation research character item individual pull hotel.,POL64845458
CLM17883513,2024-02-09,12360,Approved,Style choice beautiful work consider all chair statement.,POL06464463
CLM54654001,2020-05-18,16664,Pending,Save industry risk lawyer indeed exist care.,POL34319547
CLM31777276,2022-03-07,35891,Denied,Memory well store increase reveal.,POL62548114
CLM11660062,2021-04-07,1825,Pending,During face interesting any culture area.,POL58798776
CLM82320882,2022-01-12,87338,Approved,Foot box west morning sell responsibility drug.,POL67451011
CLM57777367,2021-05-02,59520,Pending,Relate follow camera believe discussion.,POL69805915
CLM26855643,2020-01-21,62356,Denied,Yes partner Democrat face research anyone drug.,POL22221207
CLM07024524,2020-01-25,19869,Pending,Drop cup general TV tough onto.,POL25170126
CLM20772096,2023-11-15,40813,Pending,Daughter high performance perform.,POL73247469
CLM64135002,2020-04-14,21232,Approved,Blue arrive gas.,POL53072470
CLM93920117,2022-10-19,3044,Approved,To black size edge pick mention must.,POL42034856
CLM58433168,2024-12-09,25664,Denied,Recent ever stay grow choice care.,POL77208632
CLM43148007,2024-05-26,49282,Denied,Food own official kind commercial improve side.,POL94198861
CLM16943998,2024-12-02,51850,Approved,This suggest time act.,POL76374292
CLM45178982,2021-12-21,73038,Denied,Tell unit agent.,POL31990750
CLM75585130,2021-10-25,77483,Denied,Customer tell watch talk job simple light.,POL54792632
CLM74228290,2020-04-19,22831,Denied,Voice blue official performance simply especially.,POL32514074
CLM27480571,2021-01-28,82118,Denied,Book dream fine feeling group old into always.,POL27310887
CLM45367082,2022-06-25,86016,Pending,Stay speech year southern.,POL22925819
CLM43962705,2021-07-06,62966,Denied,Book drug about PM.,POL19466250
CLM09040990,2024-04-30,99974,Denied,Player conference condition they.,POL51364019
CLM54830377,2022-10-31,19179,Denied,Her choose tell evening.,POL27219888
CLM30125029,2024-04-11,53416,Pending,Why window century art about fish turn.,POL78513544
CLM48932663,2020-01-13,1918,Denied,Play against any.,POL88760778
CLM03220150,2020-09-20,85038,Denied,Measure ten art rather onto wait.,POL89387677
CLM40415272,2024-07-19,92004,Denied,I bill kid across contain huge majority wide.,POL33443696
CLM07217029,2021-11-25,90406,Pending,Market couple take partner.,POL09568484
CLM98814273,2024-08-22,6627,Pending,Fear hold dinner sign.,POL95259878
CLM96636799,2020-03-21,53769,Approved,Visit style interesting.,POL04896223
CLM17843871,2023-07-25,61873,Denied,Sing positive kid range.,POL13957620
CLM54616829,2021-09-14,72299,Pending,Finish bit lay rule voice yet.,POL99023082
CLM75796921,2020-01-24,96345,Pending,Pressure part foot nothing minute wide upon.,POL30201413
CLM11939614,2021-07-12,80281,Denied,Plant sell crime should.,POL75483438
CLM14908448,2023-05-13,1108,Pending,Whose administration manager time certainly series Democrat.,POL12056494
CLM85598632,2024-04-30,37467,Pending,Clear follow protect return.,POL43343233
CLM89571139,2023-01-07,45319,Approved,Character pull court mother throughout.,POL54051658
CLM62901319,2023-10-15,31511,Approved,Popular under her allow.,POL83558215
CLM78860747,2023-07-02,39608,Denied,Throw seven beautiful inside.,POL46015732
CLM52569489,2020-10-29,38250,Pending,Race into from law.,POL34270146
CLM03371585,2023-12-23,90469,Approved,Easy own there professional.,POL15978608
CLM80394270,2022-07-28,9088,Pending,Discussion less mention above.,POL05422944
CLM35448324,2020-09-17,65633,Pending,Industry partner scientist no book hundred that.,POL83383036
CLM65535499,2023-01-10,37358,Pending,Same get baby kind.,POL93504222
CLM61105257,2023-10-13,62547,Pending,Skin there ok enjoy.,POL17133126
CLM30323666,2023-08-17,36719,Approved,Decision minute model little land indeed close.,POL59198090
CLM92296752,2021-03-03,89775,Pending,Return remain base dream.,POL20158897
CLM72218836,2023-06-14,29041,Pending,Lay picture run.,POL01239814
CLM35605069,2020-08-23,25873,Pending,Push ground of.,POL92554032
CLM96891966,2021-02-08,78350,Pending,Become sit serve each.,POL09568484
CLM54108166,2022-10-02,33280,Approved,Although kid art glass.,POL64674789
CLM21599432,2021-01-20,92852,Approved,But upon letter show.,POL66992068
CLM76620752,2023-06-22,75206,Denied,Affect camera often produce.,POL84725350
CLM24536396,2022-03-09,7610,Pending,Meet him career oil.,POL96603488
CLM73336230,2021-02-11,44522,Approved,Here throw while such ahead notice.,POL45455008
CLM45388858,2022-04-10,42053,Approved,Ask term city.,POL31133103
CLM52780869,2020-06-10,99278,Denied,Quite seven support situation all food which middle.,POL25631558
CLM02226872,2021-06-07,53045,Approved,Director garden institution thank seem field.,POL26761597
CLM89817039,2022-04-24,69794,Denied,Fill will seem yourself product.,POL89935970
CLM49047786,2023-04-18,82379,Denied,Democratic traditional within.,POL19285022
CLM34061248,2020-04-28,13064,Pending,Ago where sport interest money will someone.,POL31990750
CLM84411943,2021-12-09,31549,Pending,Under green begin necessary some page.,POL63841611
CLM66712295,2021-09-06,82376,Approved,Office ability detail occur guy fly.,POL87408952
CLM17460640,2024-03-03,69819,Denied,Fly goal serious radio imagine nature.,POL84291987
CLM46298070,2022-12-31,52230,Denied,Purpose board leg finally hard relate.,POL73709176
CLM85825912,2021-09-25,91053,Pending,Still site have guess hour bill.,POL82205448
CLM18182474,2022-02-18,93093,Approved,Want PM debate authority turn upon.,POL37924331
CLM72929601,2022-07-18,67195,Pending,Anything move short factor outside particularly.,POL86414767
CLM60012236,2022-09-05,41518,Approved,Court spring president carry edge style.,POL08580196
CLM46702336,2024-10-25,24981,Denied,Somebody score bar.,POL89273756
CLM61793029,2023-08-29,38448,Denied,Then sometimes attention whom identify.,POL19694591
CLM35041064,2024-09-25,43407,Approved,Certain ago politics glass.,POL10282211
CLM61742538,2023-08-31,13371,Pending,International first usually.,POL10635229
CLM78598224,2022-08-03,68621,Approved,Since human white sit bring.,POL30200147
CLM63138928,2021-05-29,36063,Pending,Black staff yet local bank treat rule.,POL68934095
CLM79816824,2024-01-25,94117,Approved,Final military piece day sort probably time.,POL23937265
CLM61635871,2021-07-21,8524,Pending,Begin party among right night discussion.,POL64086911
CLM04409621,2020-07-12,47486,Denied,Itself small seven our information brother our.,POL97395232
CLM85363498,2023-02-28,4546,Denied,Father save special like south else.,POL96246636
CLM01361228,2023-08-30,96823,Denied,I his public talk animal.,POL71973379
CLM30936625,2022-07-19,33258,Approved,Treat simple spring month short evidence worker.,POL13721219
CLM54613021,2024-03-11,80677,Pending,Stop win research church.,POL45441486
CLM41955644,2024-01-17,45928,Denied,Can really after wide room.,POL92554032
CLM71467625,2021-11-13,3152,Denied,Foot customer media see power quickly because.,POL68642735
CLM12210751,2021-10-10,64093,Approved,Idea consider work interest.,POL39701482
CLM03638745,2023-11-22,72066,Denied,Turn seven course interest car mention.,POL48026137
CLM31345261,2024-08-20,81428,Approved,Firm picture letter security customer stand ten.,POL18044385
CLM96537928,2022-03-17,45370,Pending,Defense between produce play sell.,POL92252183
CLM57503780,2022-11-30,10927,Approved,Whose shake nation bring time eight account west.,POL77005390
CLM94894381,2022-05-19,43727,Pending,Indicate forget single.,POL98885285
CLM78839246,2020-07-15,22801,Approved,Position make evidence forget.,POL10977821
CLM44944695,2021-10-12,6891,Approved,Interest discuss level in sell also.,POL24578512
CLM67249126,2024-07-04,21553,Pending,Fine despite meet anyone concern.,POL61913458
CLM23950453,2024-07-16,5948,Approved,Attention again why.,POL05208106
CLM83736124,2020-04-18,89455,Pending,Rate part kind relationship.,POL64808892
CLM71083581,2022-07-25,5429,Denied,Get positive believe bar able conference.,POL74477795
CLM39246877,2020-01-27,92150,Approved,Quickly second sport involve beautiful financial.,POL77974715
CLM17242436,2021-04-28,7671,Approved,North I impact nothing clear start much lot.,POL61367355
CLM47487889,2021-07-26,35656,Approved,Officer production difficult into.,POL36025605
CLM05793678,2021-02-12,38740,Approved,Team month five smile agreement.,POL17282682
CLM04181347,2021-05-05,41777,Denied,Race threat price toward also billion.,POL99912141
CLM35118032,2022-12-01,51959,Approved,Character economic tend issue.,POL02926047
CLM15112975,2024-09-05,58784,Pending,Open local sing.,POL63517748
CLM42287495,2021-10-22,9395,Denied,Energy until happy ok suggest during.,POL89451042
CLM97310560,2020-04-20,14869,Denied,Decision herself note father visit.,POL90026069
CLM29916261,2023-05-15,97006,Denied,Behavior nation city major become media.,POL98820628
CLM35110026,2020-03-21,4611,Pending,Example throw friend near suggest less amount.,POL45114954
CLM15176297,2022-12-26,82491,Denied,Air action anything team box leg.,POL32826444
CLM92000651,2023-09-22,16796,Denied,End strategy memory still.,POL38583909
CLM96500659,2024-06-08,1356,Denied,Few yes behind whom company east include poor.,POL54775068
CLM79436204,2024-12-18,71686,Pending,Reveal management name behavior.,POL39649490
CLM86510424,2022-11-10,76238,Approved,Part few do.,POL33988478
CLM93693008,2020-12-20,25825,Denied,Evidence bag hundred account fall.,POL94207540
CLM18595953,2023-01-16,94496,Denied,Especially cell art smile wall control difference.,POL48748875
CLM24995823,2021-11-08,10876,Pending,Time budget everyone bag mean act voice.,POL52513124
CLM04075877,2024-07-01,88897,Approved,Red natural then him reveal practice.,POL70601305
CLM67541660,2024-01-13,95732,Denied,Film indicate college message federal summer.,POL01860747
CLM65536837,2022-07-05,81410,Approved,Blood that future.,POL61781970
CLM35550447,2024-02-17,23212,Pending,Material of medical color.,POL10635229
CLM65909347,2021-05-22,69660,Denied,Something eye past final gas both out.,POL89559053
CLM61383334,2024-12-03,48285,Approved,Stand magazine economy development.,POL53804570
CLM86974920,2020-12-25,33483,Denied,College old fall a.,POL88672866
CLM96781240,2022-06-25,16929,Denied,Begin wind another hospital.,POL27717636
CLM78291547,2023-11-21,25039,Denied,While us ground edge election.,POL76144005
CLM04358223,2022-01-01,23843,Pending,Build administration performance leg.,POL64446371
CLM86683086,2020-11-01,47557,Approved,News anything hundred technology.,POL02457698
CLM28862028,2020-11-20,30695,Pending,Trouble kid information recognize these.,POL14697961
CLM56474596,2021-03-28,84977,Pending,Rule purpose mother anyone watch he.,POL67846790
CLM68737672,2022-03-16,2443,Approved,Quickly successful as reality.,POL96087184
CLM55619596,2024-02-08,48742,Pending,Red community policy their.,POL08801313
CLM49941222,2023-08-03,29448,Denied,Treat argue each himself summer.,POL13831480
CLM92636438,2022-05-05,44185,Pending,Base beat feeling on white prepare.,POL13297022
CLM53135114,2022-07-24,98538,Pending,Father direction into give.,POL93415185
CLM26661230,2024-05-11,42953,Denied,Prevent almost wonder.,POL19720600
CLM29383141,2020-08-18,43792,Pending,Those training beat agreement hundred.,POL83231801
CLM35828104,2023-10-11,43598,Approved,Different special rather blue what never.,POL40541993
CLM28164289,2023-06-07,17950,Approved,Point son say.,POL18418327
CLM05929899,2022-06-07,80035,Pending,Company to here plan score bag factor thank.,POL31489077
CLM55092260,2021-04-16,6309,Denied,Simple thousand work rich officer.,POL95381092
CLM24122310,2020-06-27,94567,Pending,Budget check during design brother power.,POL56896530
CLM42619709,2023-05-20,26387,Denied,Small garden message author agency.,POL11702115
CLM17906437,2022-05-20,84166,Approved,Actually which reality value.,POL91286503
CLM20552737,2020-06-09,38298,Denied,Site itself western likely song within away.,POL34042376
CLM79483595,2022-12-13,19351,Approved,Your couple appear this.,POL80050460
CLM87860226,2021-02-08,30426,Denied,Threat without seat bad.,POL98618330
CLM97364422,2024-10-10,92695,Approved,Again thought late scene yes gun.,POL14588316
CLM74887335,2021-08-18,31609,Denied,Foreign phone issue deep middle.,POL87933513
CLM08202860,2021-08-14,99440,Denied,Huge often around easy until data.,POL31533848
CLM53976158,2021-08-03,79390,Approved,Sea hour notice.,POL27310887
CLM03688743,2020-11-16,16479,Approved,Rather single ability hundred late.,POL16384443
CLM50638299,2021-10-20,51436,Approved,Hotel individual want a item artist.,POL80243526
CLM64770088,2023-07-28,80948,Pending,Once may Democrat quality.,POL55964099
CLM29346982,2022-04-24,49150,Denied,Some here staff environmental around.,POL38939218
CLM74013336,2022-12-30,86928,Pending,Rise rich friend none series American.,POL85712571
CLM03930537,2024-09-06,3145,Denied,Computer reduce respond specific reason view power.,POL73676395
CLM88330676,2024-04-06,7098,Approved,Through reveal home product.,POL89935970
CLM20595035,2020-01-24,79123,Approved,Work oil north remain daughter similar.,POL80364635
CLM31539501,2022-10-23,14276,Pending,Stuff assume per face art idea baby market.,POL35399559
CLM98304021,2020-03-17,62837,Denied,Time remember compare oil reason line.,POL42020993
CLM26234625,2021-07-02,36164,Pending,Determine right officer save put under imagine.,POL78662239
CLM48364422,2021-09-08,82887,Pending,Left three full young what.,POL27988636
CLM08911981,2022-09-12,29073,Denied,Site give foot face light responsibility already.,POL03121184
CLM23208347,2020-10-18,49039,Denied,Always subject stop together then gas.,POL75778354
CLM14097208,2021-05-04,84748,Approved,People major value matter form.,POL42258270
CLM47419596,2020-10-11,53756,Pending,Keep yourself admit father field evening.,POL46408344
CLM88805084,2023-01-28,80217,Approved,Security since deep action reality short.,POL63731012
CLM48509442,2024-02-18,19929,Denied,Total notice machine tough culture.,POL45719981
CLM82908539,2024-06-09,9207,Approved,Soon fall program major hour accept.,POL94998693
CLM24200639,2024-08-11,60164,Denied,Require partner yard mouth.,POL12164019
CLM67337109,2024-08-20,79043,Approved,Successful nature ahead answer bit stand bank.,POL00522342
CLM56063976,2023-05-07,46917,Pending,Environmental data sign agree head PM power career.,POL06372967
CLM21028713,2020-12-25,86078,Denied,May safe political behind machine history door.,POL14997788
CLM75441547,2020-07-18,40066,Pending,Past language just guess production.,POL67932010
CLM46487316,2021-07-05,24551,Pending,Case large Mr.,POL58623707
CLM50045721,2020-07-20,54635,Pending,Else itself toward four plant.,POL28065491
CLM18171817,2022-01-05,51181,Denied,Role of no address several pass his.,POL59886107
CLM70537613,2024-02-14,96646,Pending,Price election effect policy will goal.,POL45464531
CLM66976199,2024-11-05,9890,Denied,Decade herself mention interest the hospital.,POL32625291
CLM01653164,2023-03-02,5333,Pending,Network red enter social where heart address.,POL55036826
CLM05204060,2023-08-13,14670,Pending,Amount become factor politics.,POL68070002
CLM14524833,2024-11-05,91636,Approved,Pattern right support network season American put.,POL89737164
CLM02878190,2022-08-28,79697,Approved,Myself ago company another.,POL53561302
CLM92922820,2024-11-06,43712,Approved,What ability race third deal.,POL96558209
CLM30608402,2024-02-11,6883,Approved,Type grow before likely voice science.,POL63446191
CLM11977736,2022-09-24,68373,Approved,Believe difficult similar cut staff store wonder sing.,POL93482560
CLM17428959,2024-02-12,97886,Pending,Three up tree something treatment animal.,POL03776378
CLM09489246,2021-02-28,95661,Denied,Scene small shoulder staff while.,POL07837542
CLM06711477,2024-05-20,24204,Approved,Mother travel smile and stay.,POL56170272
CLM29824752,2023-10-31,67665,Approved,Computer late we least hand first.,POL10282211
CLM16519889,2021-08-22,24514,Pending,Describe total customer environmental anyone technology fill.,POL26280970
CLM80598369,2022-03-06,91528,Approved,Seven person unit seem society.,POL22068904
CLM99451658,2023-05-05,58226,Approved,Cost cultural area common upon leg culture.,POL79056359
CLM03405744,2023-02-27,28909,Denied,Chair hair board.,POL26021266
CLM71182979,2023-08-06,44329,Denied,Interview class part history.,POL18546067
CLM25507600,2023-12-02,65006,Pending,Within run fast three.,POL45897709
CLM62137348,2024-02-21,34952,Denied,Person yet heavy agent.,POL40650840
CLM71725187,2023-01-16,5271,Denied,Live yard whose attack this machine now if.,POL02018032
CLM17337654,2023-02-08,89063,Approved,View many actually three about condition.,POL47598430
CLM64733394,2021-02-02,91670,Pending,After second bank many middle admit Democrat.,POL66952651
CLM70212837,2024-06-23,91542,Approved,Rest other paper every.,POL32747822
CLM47465653,2022-12-16,8992,Denied,Space scene grow.,POL90664485
CLM31756463,2021-09-05,80502,Denied,Song surface lawyer cause.,POL55835566
CLM33909043,2022-06-16,48070,Approved,Movement order apply street camera who doctor.,POL30587921
CLM09791131,2021-03-27,1955,Approved,Support house gun enter computer.,POL63887915
CLM30984724,2023-04-24,33469,Pending,Century probably each believe me serious.,POL24535727
CLM44678134,2023-03-18,79148,Approved,Court onto authority force news step join seem.,POL90664485
CLM43891107,2022-05-01,98370,Pending,Film particularly generation language public.,POL19285022
CLM66215148,2021-03-23,91767,Pending,Film sense focus population rather benefit.,POL03458249
CLM91875408,2020-08-13,35161,Pending,Value present design might exactly off generation.,POL55938009
CLM75738583,2020-10-27,92709,Approved,Every many possible everybody stuff responsibility yard.,POL32733098
CLM95647004,2023-06-04,30156,Denied,Whether force we decide.,POL81185546
CLM33452336,2024-12-18,62264,Denied,Onto else fact the.,POL36118464
CLM76513855,2022-06-16,74517,Pending,Happen sure clearly million bit.,POL58601836
CLM64569450,2022-09-26,15769,Pending,Parent bed cell back from.,POL82703619
CLM09854999,2023-02-26,96274,Approved,Turn fish pull enjoy.,POL61660074
CLM45208038,2024-04-15,58525,Pending,Thus government project whose.,POL71010293
CLM59973614,2023-12-16,19711,Pending,Look direction well.,POL53556659
CLM88218827,2022-04-20,35017,Denied,By space able middle concern.,POL58860880
CLM76230549,2021-11-16,15162,Denied,Pm life head laugh political.,POL31482176
CLM05105682,2022-06-15,83395,Denied,Artist admit force brother mention send.,POL26935323
CLM64031171,2024-06-09,28647,Denied,Range inside defense enter skin.,POL45899805
CLM17510574,2021-03-18,17746,Approved,Performance any resource heart.,POL64468653
CLM91009473,2024-09-25,48669,Pending,Stand figure at base free billion.,POL10704502
CLM41891699,2024-04-21,1922,Pending,Cold college wife evidence all.,POL08895135
CLM08777603,2024-04-03,81252,Pending,Television project maybe peace.,POL76497051
CLM35179485,2024-10-18,12044,Pending,Necessary heart put employee suggest.,POL52707318
CLM63551322,2024-02-28,42760,Denied,Office analysis she physical.,POL97188917
CLM46616956,2023-04-18,68043,Denied,Appear break election director.,POL30887755
CLM13799405,2023-01-25,9276,Approved,Direction detail record state receive already do.,POL91813694
CLM71784669,2024-11-07,36823,Approved,You social not most reveal any type.,POL20698881
CLM73618857,2021-08-30,18188,Denied,Mother also leader eye the parent tell.,POL23499238
CLM05962365,2023-07-11,27296,Approved,Agent if hard child sea cover fine.,POL77489665
CLM23128483,2023-02-01,71142,Denied,Six heart identify condition keep purpose.,POL07094060
CLM35516021,2020-01-27,25525,Pending,Next Democrat pass west interesting.,POL47692099
CLM53696515,2023-02-04,63520,Denied,Major pull perhaps way key.,POL63927157
CLM33974742,2024-12-14,19045,Pending,Result itself about scene.,POL59802127
CLM63378591,2024-10-06,18036,Denied,Strategy movie soon Mrs man.,POL98618330
CLM39193340,2022-08-01,3208,Pending,Country spend management that.,POL46902142
CLM15168936,2021-12-28,29596,Denied,Season truth ask draw employee.,POL95848823
CLM89348910,2023-04-21,67828,Pending,Bar drug sell consider.,POL37953515
CLM11325506,2020-02-11,61185,Approved,Degree mother factor report hotel short magazine.,POL31194577
CLM35911650,2024-08-30,61857,Approved,Enjoy enough main rule myself.,POL71161359
CLM82328658,2022-09-20,1769,Denied,Account different real short economic.,POL26404554
CLM15268040,2023-06-18,47785,Approved,Article line idea I author especially.,POL14694740
CLM31223470,2021-01-10,74534,Denied,Call create people live foot.,POL76633333
CLM86575372,2022-11-20,17015,Pending,Physical generation race game style ready.,POL61600687
CLM37535125,2021-01-21,92850,Pending,What safe message kid.,POL17108285
CLM10630458,2020-01-28,68084,Approved,May method tough crime military officer.,POL21488909
CLM57200375,2021-04-05,47387,Approved,Pick away statement mother economic product mouth.,POL07189960
CLM12450687,2020-05-12,63847,Approved,Land bring design local beyond high.,POL30983744
CLM91206150,2021-04-09,94242,Approved,Each language prove including would model.,POL79030894
CLM09097765,2024-11-06,66547,Pending,Up pick soldier message.,POL38583909
CLM57600304,2020-07-07,37349,Denied,Guy front major discover.,POL32975893
CLM63879669,2024-07-14,8403,Approved,Laugh final animal a.,POL63077601
CLM11683170,2022-01-21,46677,Approved,While analysis shake Republican chance author interview.,POL92816036
CLM79401135,2022-07-30,19786,Pending,Line physical already exactly school off.,POL33725370
CLM00279519,2020-04-20,95519,Denied,Join before alone Mrs.,POL27667498
CLM52301491,2020-02-26,20008,Approved,Go order vote believe pick follow.,POL68135895
CLM50583638,2023-03-06,41035,Pending,Artist image help above board.,POL16359450
CLM20673890,2021-10-23,64430,Pending,Power reveal drug.,POL40562247
CLM22885710,2021-08-19,6317,Approved,Push hear board main wonder situation.,POL14316031
CLM96094908,2022-06-30,73660,Approved,With final continue work pass.,POL34839804
CLM30022962,2022-06-29,91987,Pending,Smile likely sound national adult.,POL21161337
CLM87942464,2021-04-29,52205,Approved,Dream live and cold score.,POL14084452
CLM43291635,2020-12-23,52335,Pending,Scene though in when drive.,POL15978608
CLM35386115,2021-08-01,18924,Approved,Step cost color during explain.,POL55660947
CLM61459176,2023-08-15,78540,Pending,Sell design book.,POL18884095
CLM51425490,2023-12-30,35152,Approved,Citizen final table picture safe.,POL72902683
CLM93975192,2023-04-15,20982,Denied,Father street sister of north agree join.,POL90938074
CLM58626146,2023-04-16,93197,Approved,Trade perhaps officer although company peace smile stuff.,POL56127428
CLM54881960,2023-11-04,71290,Approved,Us science owner wrong allow.,POL88842514
CLM81692095,2022-07-12,99717,Denied,Several lead fund he.,POL68032532
CLM94490338,2023-08-28,28561,Denied,Own dream material generation enough.,POL50481637
CLM19640797,2021-01-09,16300,Approved,War eight already life.,POL71741246
CLM53528432,2020-03-12,65547,Denied,Participant very interview home hospital.,POL09462965
CLM56979024,2020-05-31,33597,Denied,Often relationship perform different table ready.,POL83964879
CLM38338636,2022-08-03,21569,Pending,Down generation recently national experience.,POL70256578
CLM81168996,2022-01-25,14018,Denied,Everyone strategy none garden marriage direction.,POL86478823
CLM56533658,2021-01-16,18969,Denied,Our color process close who drug matter.,POL52000180
CLM58069768,2020-06-15,72148,Denied,Sport concern challenge far bar who strong.,POL57207157
CLM72267852,2023-09-02,66661,Approved,Fine into western head what risk wide.,POL12716498
CLM04217980,2020-10-02,67169,Denied,Create relationship option movement bill.,POL54295320
CLM17953070,2023-01-02,69101,Pending,Peace power together stuff just.,POL51728504
CLM87780968,2022-08-20,63568,Denied,Election station teacher floor machine.,POL69557850
CLM16550679,2024-02-09,62864,Denied,Thank strong space responsibility pretty every sister.,POL85425957
CLM86147692,2022-04-23,73988,Pending,Its range time method.,POL14232641
CLM61568285,2023-11-02,31550,Approved,Director cell cover one activity senior former.,POL21551791
CLM55820975,2021-03-23,77659,Approved,Image keep benefit activity project stop news.,POL61699231
CLM25140350,2020-11-20,33651,Pending,Attack social large according institution wide national.,POL27777205
CLM18202077,2021-01-03,83295,Approved,Summer increase law plant full enter.,POL55433362
CLM00485196,2020-11-26,93418,Pending,There woman leg especially your.,POL01897492
CLM16201323,2023-10-03,79905,Pending,Herself environmental past list.,POL99499463
CLM97068207,2021-12-30,67907,Denied,Decision base well I general enjoy check.,POL13181341
CLM97138018,2024-11-21,22368,Approved,Forget including price big.,POL64365523
CLM63964830,2020-07-02,23144,Approved,Large low season consumer.,POL60529596
CLM41234955,2022-01-22,66976,Pending,Company professional learn sign.,POL67256934
CLM43385576,2020-09-21,50691,Approved,Happy where actually offer late response.,POL44809724
CLM47142460,2022-01-30,13007,Approved,History study my yourself store.,POL15307389
CLM17909384,2023-06-24,68996,Denied,Serve appear expect never will.,POL19885981
CLM54946089,2023-07-20,83287,Approved,Challenge miss market official investment economy suffer.,POL14138519
CLM32242643,2024-09-18,21101,Approved,Activity great scene west soon next not.,POL22702092
CLM72700140,2023-08-11,75622,Denied,Work whether change fall.,POL00228879
CLM04420108,2024-07-20,28404,Approved,Student health paper chair position into mention standard.,POL82064166
CLM74346236,2023-08-11,25767,Pending,Kid check grow why group.,POL64943722
CLM04918202,2022-01-24,94064,Approved,Pattern government management military consumer spring.,POL13181261
CLM92126572,2024-05-09,67925,Pending,To learn front tend available standard since.,POL08536084
CLM13148461,2024-06-21,25326,Approved,Would chair learn song.,POL94737563
CLM88556397,2023-02-05,59731,Denied,Defense return law painting success class.,POL04120684
CLM35989900,2022-12-09,52328,Approved,Now them machine break against.,POL25050325
CLM64646052,2020-03-05,68237,Approved,On require maybe your wish.,POL38710685
CLM24982142,2022-07-24,16003,Denied,Already artist know special education far price.,POL67846790
CLM08785118,2024-12-05,6870,Pending,Under social trade go represent south day.,POL50975802
CLM74048114,2022-01-30,71610,Pending,Movie big coach home officer.,POL03937394
CLM90804283,2022-12-26,82451,Denied,Similar evidence material outside suffer.,POL37789454
CLM13031824,2021-04-16,41434,Approved,View hope happen those paper itself easy.,POL12964771
CLM41994920,2022-10-29,28556,Pending,Sell consumer surface trouble firm surface.,POL34336501
CLM39339196,2024-07-30,92756,Pending,Control father marriage learn.,POL83585187
CLM25982351,2024-01-31,66831,Denied,Property against develop occur song nation away risk.,POL47193771
CLM71027344,2021-11-28,35732,Denied,Spend different perform sport dinner Republican event send.,POL85095212
CLM10015678,2023-11-25,64399,Denied,Shoulder debate approach campaign break improve clear.,POL81192447
CLM24151292,2021-06-14,70682,Approved,Major method star water window.,POL10125019
CLM09772284,2024-04-06,72530,Pending,Board technology property thing.,POL69129432
CLM50500409,2022-11-10,6163,Approved,Occur yes doctor adult yard authority represent these.,POL85421445
